School,Win Loss Percentage,Simple Rating System,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Merrimack,.545,-4.36,64.7,100.7,.244,.429,.521,41.3,49.7,14.6,10.6,.494,12.5,20.8,.177
Miami (FL),.226,0.67,67.6,108.6,.264,.385,.551,48.2,47.0,9.4,9.6,.519,14.0,28.2,.202
Miami (OH),.735,-0.84,70.6,113.8,.275,.447,.592,50.4,55.8,11.3,10.3,.570,15.1,28.4,.199
Michigan,.727,19.97,70.7,110.7,.354,.421,.580,53.5,58.2,7.8,9.4,.549,17.4,33.7,.256
Michigan State,.818,22.47,69.2,112.5,.378,.327,.559,56.4,61.6,7.9,13.3,.512,14.2,35.3,.296
Middle Tennessee,.667,2.98,69.2,108.0,.328,.392,.540,51.7,45.5,9.4,11.3,.514,13.9,31.5,.220
Milwaukee,.656,0.37,69.9,111.4,.382,.316,.548,56.8,50.4,10.9,9.4,.517,15.6,40.5,.261
Minnesota,.469,8.52,63.8,104.6,.315,.359,.525,49.4,61.3,9.3,12.9,.499,14.3,30.2,.209
Mississippi,.667,17.93,69.3,110.5,.356,.402,.549,46.7,53.5,12.6,12.4,.511,11.3,25.4,.263
Mississippi State,.636,17.53,69.7,113.1,.316,.423,.546,51.7,53.3,13.1,14.3,.517,12.7,34.1,.221
Mississippi Valley State,.097,-34.29,66.6,81.3,.307,.302,.467,43.1,42.3,9.0,5.4,.434,21.8,23.4,.203
Missouri,.667,20.39,69.9,120.3,.468,.415,.599,51.1,49.5,13.4,7.5,.562,13.2,33.7,.340
Missouri State,.281,-3.87,64.6,102.4,.347,.368,.538,51.3,50.3,11.1,8.1,.513,17.8,32.0,.228
Monmouth,.394,-7.87,67.3,103.3,.367,.346,.518,47.3,49.6,8.7,12.7,.472,14.0,29.8,.273
Montana,.735,-1.12,68.0,112.7,.354,.370,.598,49.4,49.1,9.2,8.5,.568,14.5,23.8,.260
Montana State,.455,-2.37,66.7,106.6,.311,.432,.559,47.0,52.1,9.5,9.1,.529,13.5,21.6,.226
Morehead State,.469,-13.50,65.8,100.2,.370,.345,.506,53.3,49.7,8.5,7.0,.470,15.3,31.9,.250
Morgan State,.438,-14.88,73.0,108.2,.356,.219,.551,50.1,43.7,9.4,11.3,.514,15.7,34.7,.259
Mount St. Mary's,.647,-7.78,68.0,102.0,.316,.410,.547,53.1,60.7,8.9,8.2,.514,19.1,31.5,.232
Murray State,.485,0.85,65.8,106.7,.412,.400,.544,51.0,49.7,9.9,8.1,.502,14.7,29.4,.297
Navy,.441,-9.59,66.8,105.5,.334,.372,.525,51.5,54.0,9.7,8.2,.486,13.8,31.4,.245
NC State,.387,5.89,65.8,105.4,.323,.362,.520,47.2,51.6,9.8,10.2,.483,12.5,28.8,.234
Nebraska,.548,12.98,68.9,107.7,.360,.385,.555,49.6,52.5,10.1,9.1,.515,14.3,26.8,.269
Nevada,.515,9.76,64.9,110.6,.373,.375,.568,50.7,58.8,9.5,12.4,.537,13.8,27.4,.262
